رقم المحضر,اسم الجامع/مسجد,الموقع,تاريخ الزيارة (هجري),التاريخ الميلادي (تقريبي),المسببات,الإجراء المتخذ,رقم عداد الكهرباء,نوع المخالفة,Unnamed: 9
207,مسجد محطة بترو ون,وداي الدواسر,21/01/1447,17/07/2025,مسجد يقع داخل محطة,تمت المعالجة,ECC2020810917709,أخرى,
208,مسجد أل كهف,وداي الدواسر,21/01/1447,17/07/2025,تعدي بيت دورين,تمت المعالجة,MMF2020800259580,تعدي للكهرباء,
209,مسجد أل نابي,وداي الدواسر,21/01/1447,17/07/2025,تعدي بيت شعبي,تمت المعالجة,KFM2120660272267,تعدي للكهرباء,
210,مسجد أل هدران,وداي الدواسر,21/01/1447,17/07/2025,إرتباط سكن منسوبين - تعدي من عمارة قيد الإنشاء,تمت المعالجة,KFM2020660206130,تعدي للكهرباء,
211,مسجد السويدان,وداي الدواسر,21/01/1447,17/07/2025,تعدي كهرباء من قبل فله وخيمة وبركسه,تمت المعالجة,AEC2020830311383,تعدي للكهرباء,
213,مسجد حي الفارسية,وداي الدواسر,21/01/1447,17/07/2025,تعدي فله داخل ملك خاص,تمت المعالجة,MMF2020800259538,تعدي للكهرباء,
214,مسجد حي برزان,وداي الدواسر,21/01/1447,17/07/2025,تعدي فلتين,تمت المعالجة,AEC2020830311436,تعدي للكهرباء,
215,مسجد مبارك أل حنيان,وداي الدواسر,21/01/1447,17/07/2025,تعدي فله,تمت المعالجة,AEC2020830242719,تعدي للكهرباء,
216,مسجد فرج أبوسنيه,وداي الدواسر,21/01/1447,17/07/2025,تعدي 4 فلل – تعدي فله قيد الإنشاء,تمت المعالجة,KFM2020760204251,تعدي للكهرباء,
217,جامع ابالرحي,محيرقة- القويعية,02/03/1447,26/08/2025,تعدي غطاس,تمت المعالجة,KFM2020766149366,تعدي للكهرباء,
